Date,Authors,Title,Journal,PDF,Notes,Preprint_platform,Preprint_link
01/01/2022,"*Ten Oever, S., Carta, S., Kaufeld, G., & Martin, A. E.",Task-dependent and automatic tracking of hierarchical linguistic structure,,,,biorxiv,https://www.biorxiv.org/content/10.1101/2022.02.08.479571v1.abstract
01/01/2022,"Doumas, L. A. A., Puebla, G., Martin, A. E., & Hummel, J. E.",A theory of relation learning and cross-domain generalization,Psychological Review,https://pure.mpg.de/rest/items/item_3367138_1/component/file_3367139/content,,,
01/01/2021,"Guest, O. & Martin, A. E. ","On logical inference over brains, behaviour, and artificial neural networks",,,,psyarxiv,https://psyarxiv.com/tbmcg/
01/01/2021,"*Coopmans, C. W., De Hoop, H., Kaushik, K., Hagoort, P., & Martin, A. E.",Hierarchy in language interpretation: Evidence from behavioral experiments and computational modeling,"In press at Language, Cognition and Neuroscience",https://pure.mpg.de/pubman/item/item_3340469,,,
01/01/2021,"*Ten Oever, S. & Martin, A. E.", An oscillating computational model can track pseudo-rhythmic speech by using linguistic predictions,eLife,https://elifesciences.org/articles/68066.pdf,,,
01/01/2021,"*Puebla, G., Martin, A. E., Doumas, L. A. A.",The relational processing limits of classic and contemporary neural network models of language processing,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_3259359_3/component/file_3282387/content,,,
01/01/2021,"Guest, O. & Martin, A. E. ",How computational modeling can force theory building in psychological science,Perspectives on Psychological Science,https://pure.mpg.de/rest/items/item_3279903_1/component/file_3279904/content,,,
01/01/2021,"Doumas, L. A. A. & Martin, A. E. ",A model for learning structured representations of similarity and relative magnitude from experience,Current Opinion in Behavioral Sciences,https://pure.mpg.de/rest/items/item_3277903_1/component/file_3277904/content,,,
01/01/2020,"*Hashemzadeh, M., Kaufeld, G., White, M., Martin, A. E., & Fyshe, A.",From language to language-ish: How brain-iike is an LSTM's representation of atypical language stimuli?,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: Findings,https://www.google.com/url?q=https%3A%2F%2Fwww.aclweb.org%2Fanthology%2F2020.findings-emnlp.57.pdf&sa=D&sntz=1&usg=AFQjCNGQ_sV3hQjny4j2EIGgOEkTUAi7ZQ,,,
01/01/2020,"*Kaufeld, G., Bosker, H. R., Ten Oever, S., Alday, P. M., Meyer, A. S., & Martin, A. E. ",Linguistic structure and meaning organize neural oscillations into a content-specific hierarchy,The Journal of Neuroscience,https://pure.mpg.de/rest/items/item_3240225_9/component/file_3271144/content,,,
01/01/2020,"Meyer, L., Sun, Y., & Martin, A. E. ","""Entraining"" to speech, generating language?","Language, Cognition, and Neuroscience",https://www.google.com/url?q=https%3A%2F%2Fpsyarxiv.com%2Frybh9&sa=D&sntz=1&usg=AFQjCNEduXI4y3JQpgxUlbnKjrB61BAmtA,,,
01/01/2020,"Brennan, J. R. & Martin, A. E.",Phase synchronization varies systematically with linguistic structure composition,Philosophical Transactions of the Royal Society B: Biological Sciences,https://pure.mpg.de/rest/items/item_3181052_5/component/file_3182516/content,,,
01/01/2020,"*Cutter, M. G., Martin, A. E., & Sturt, P. ",Readers detect an low-level phonological violation between two parafoveal words,Cognition,https://pure.mpg.de/rest/items/item_3243975_1/component/file_3243976/content,,,
01/01/2020,"*Cutter, M. G., Martin, A. E., & Sturt, P. ",The activation of contextually predictable words in syntactically illegal positions,Quarterly Journal of Experimental Psychology,https://pure.mpg.de/rest/items/item_3251040_1/component/file_3251041/content,,,
01/01/2020,"Martin, A. E.",A compositional neural architecture for language,Journal of Cognitive Neuroscience,https://pure.mpg.de/rest/items/item_3196366_5/component/file_3240713/content,,,
01/01/2020,"Martin, A. E. & Baggio, G.",Modeling meaning composition from formalism to mechanism,Philosophical Transactions of the Royal Society B: Biological Sciences,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0298,,,
01/01/2020,"Martin, A. E. & Doumas, L. A. A. ",Tensors and compositionality in neural systems,Philosophical Transactions of the Royal Society B: Biological Sciences,https://pure.mpg.de/rest/items/item_3181049_4/component/file_3182500/content,,,
01/01/2019,"*Kaufeld, G., Naumann, W., Meyer, A. S., Bosker, H. R., & Martin, A. E.",Contextual speech rate influences morphosyntactic prediction and integration,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_3180441_7/component/file_3261434/content,,,
01/01/2019,"Meyer, L., Sun, Y., & Martin, A. E.","Synchronous, but not entrained: exogenous and endogenous cortical rhythms of speech and language processing","Language, Cognition, and Neuroscience",https://www.tandfonline.com/doi/full/10.1080/23273798.2019.1693050,,,
01/01/2019,"*Cutter, M. G., Martin, A. E., & Sturt, P.",Capitalization interacts with syntactic complexity,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_3158689_5/component/file_3239202/content,,,
01/01/2019,"*Kaufeld, G., Ravenschlag, A., Meyer, A. S., Martin, A. E., & Bosker, H. R.",Knowledge-based and signal-based cues are weighted flexibly during spoken language comprehension,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_3067219/component/file_3261436/content,,,
01/01/2019,"Martin, A. E. & Doumas, L. A. A.",Predicate learning in neural systems: Using oscillations to discover latent structure,Current Opinion in Behavioral Sciences,https://pure.mpg.de/rest/items/item_3058563_1/component/file_3058564/content,,,
01/01/2018,"Martin, A. E. ",Cue integration during sentence comprehension: Electrophysiological evidence from ellipsis,PLoS ONE  ,https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pone.0206616/1/pone.0206616.pdf?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=wombat-sa%40plos-prod.iam.gserviceaccount.com%2F20210114%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20210114T172244Z&X-Goog-Expires=3600&X-Goog-SignedHeaders=host&X-Goog-Signature=655b64f37fb778892ef7ea3ddf44320fc3bf647db9075f6acd121d8ad3781ca6353b9710f5bfc0c3da5ac0bf4cd0fcd9272255dbe913a967deaf39d57917717cab41f64fbdc6f47d6f9e04acb191f111f6c88476029047224f66e5e48d85787fdeedd8f2323a76e194bde13e15ca98875fe1aa4ca4811cacb2327678aa2e8bf2badefa4138e134ed0d36a1219c1f2c914599b65242780444a5c2aceb3e3f6112ac4ca050d838dd999aee819ba4a36b4777b5184069e23182c0f2daea82bfda4f50fd7dd23a5b091949c56d0011651b8d8e2eb5af641355ddb7b40f32f82fd0ed353acf300e7619de528086a4c92a18c3981611e8e1b10335e6a2c188ebf07900,,,
01/01/2018,"Doumas, L. A. A. & Martin, A. E. ",Learning structured representations from experience,Psychology of Learning and Motivation,https://pure.mpg.de/rest/items/item_3011567_2/component/file_3011568/content,,,
01/01/2018,"Lakens, D. et al. (Martin, A. E. is author no. 57) ","Justify your alpha: A Response to ""Redefine Statistical Significance.""",Nature Human Behavior,https://www.nature.com/articles/s41562-018-0311-x.pdf,,,
01/01/2018,"Martin, A. E. & McElree, B. ",Retrieval cues and syntactic ambiguity resolution: Speed-accuracy tradeoff evidence,"Language, Cognition, and Neuroscience",https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1427877?needAccess=true,,,
01/01/2017,"Doumas, L. A. A., Hamer, A., Puebla, G., & Martin, A. E. ",A theory of the detection and learning of stimulus similarity and magnitude,Proceedings of the 39th Annual Conference of the Cognitive Science Society,https://pure.mpg.de/rest/items/item_2492173_3/component/file_2492172/content,,,
01/01/2017,"*Ito, A., Martin, A. E., & Nieuwland, M. S. ","Why the A/AN prediction effect may be hard to replicate: A rebuttal to Delong, Urbach, & Kutas ",,https://pure.mpg.de/rest/items/item_2430395_7/component/file_2470936/content,,,
01/01/2017,"Martin, A. E., Huettig, F., & Nieuwland, M. S. ","Can structural priming answer the important questions about language? Comment on target article ""An experimental approach to linguistic representation"" by Branigan & Pickering",Behavioral and Brain Sciences,https://pure.mpg.de/rest/items/item_2408235_9/component/file_2503027/content,,,
